row_id,사업명,지원성격,지원방식,기업당지원한도,지원기업수,지원비율,사업기간,비교군_근거,판단(정상/비전형),판단이유,하위유형,라벨러
PBLN_000000000125225,[울산] 2026년 5차 사회연대경제 청년 일경험 시범사업 참여기업 추가 모집 공고,고용보조,grant,,1.0,,26.0,"지원 기업/과제 수가 비교군 대비 낮음 (P10, 성격x방식x단위x출처 비교군 49건) / 사업기간이 비교군 대비 높음 (P90, 성격x방식x출처 비교군 35건)",비전형,사업기간 26.0년(연도 오파싱) + 지원기업 1개사(P10),데이터,claude-blind
EXCEL2023_0169,2023년 물류효율화 사업(제3자물류 컨설팅 지원),컨설팅,grant,20000000.0,,50.0,,"지원비율이 비교군 대비 낮음 (P10, 성격x방식x출처 비교군 58건)",정상,"컨설팅 2,000만원/50%. 5번과 같은 계열",-,claude-blind
PBLN_000000000045622,[대전] 2019년 3분기 소상공인 경영개선자금 지원 공고,융자,grant,60000000.0,14.0,,,비교군 부족,경계,성격 융자 / 방식 grant 불일치. 금액·기업수는 평범,설계,claude-blind
PBLN_000000000042060,[광주] 2019년 광주글로벌게임센터 Hipster 프로젝트제작 지원사업 공고,사업화,other,,1.0,90.0,,"지원비율이 비교군 대비 높음 (P90, 성격 비교군 377건)",경계,지원기업 1개사 + 지원비율 90%. 소규모 제작지원이라 설명 여지 있음,설계,claude-blind
PBLN_000000000105035,[제주] 서귀포시 2025년 FTA기금 과수(감귤ㆍ키위)고품질 시설현대화 지원사업 추가 신청ㆍ접수계획 공고,사업화,other,,14.0,80.0,,비교군 부족,정상,시설현대화 14개사/80%. 통상 설계,-,claude-blind
PBLN_000000000073058,2022년 지역SW서비스사업화 통합 공고(지역지원ㆍ제주ㆍ세종),사업화,grant,292000000.0,18.0,,,비교군 부족,경계,사업화 과제당 2.92억. 사업화 비교군 대비 큰 편,설계,claude-blind
PBLN_000000000094716,2024년 선도유지제 지원사업 공고,사업화,grant,60000000.0,1.0,,,"지원 기업/과제 수가 비교군 대비 낮음 (P10, 성격x방식x단위x출처 비교군 243건)",경계,지원기업 1개사(P10). 단일기업 지원은 드물지만 품목사업으로 설명 가능,설계,claude-blind
PBLN_000000000119636,[세종] 2026년 중소기업육성자금 지원계획 변경 공고,융자,grant,9166666666.666666,6.0,,26.0,"사업기간이 비교군 대비 높음 (P90, 성격 비교군 236건)",비전형,기업당 한도 91.7억 + 사업기간 26년. 9번과 같은 유형,데이터,claude-blind
EXCEL2022_0488,2022년 종균활용 발효식품산업지원,사업화,grant,20000000.0,25.0,,,"기업(과제)당 지원한도가 비교군 대비 낮음 (P0, 성격x방식x단위x출처 비교군 316건)",정상,"사업화 2,000만원/25개사. 한도가 낮은 축이지만 흔한 수준",-,claude-blind
PBLN_000000000061812,[경북] 경주시 저녹스 버너 설치지원 사업 신청 공고,설비,other,,1.0,50.0,,비교군 부족,정상,설비 1개사/50%. 소규모 지자체 설비지원,-,claude-blind
PBLN_000000000124919,[울산] 2026년 맞춤형 AI 솔루션 지원사업 수혜기업 모집 공고(지역특화 제조데이터 활성화 사업),SW·솔루션,grant,65000000.0,3.0,,26.0,"사업기간이 비교군 대비 높음 (P90, 전체 비교군 941건)",비전형,사업기간 26.0년(연도 오파싱). 금액·기업수는 평범,데이터,claude-blind
EXCEL2023_0493,2023년 탄소중립선도플랜트 구축지원 사업,설비,grant,3000000000.0,,40.0,2.0,"기업(과제)당 지원한도가 비교군 대비 높음 (P100, 성격x방식x단위x출처 비교군 57건) / 지원비율이 비교군 대비 낮음 (P0, 성격x방식x출처 비교군 57건) / 사업기간이 비교군 대비 낮음 (P10, 성격x방식 비교군 31건)",비전형,과제당 30억(P100) + 지원비율 40%(P0) + 기간 2년(P10). 세 축 동시 극단인 대형 플랜트 설계,설계,claude-blind
EXCEL2023_0342,2023년 보건복지부 시니어인턴십 인건비 지원,고용보조,grant,,3.0,,0.25,"사업기간이 비교군 대비 낮음 (P0, 성격x방식 비교군 61건)",경계,사업기간 0.25년(P0). 인턴십 단기지원이라 설명은 됨,설계,claude-blind
EXCEL2023_0538,2022년 그린뉴딜 유망기업 100 프로젝트(그린벤처 프로그램),사업화,grant,3000000000.0,15.0,80.0,3.0,"기업(과제)당 지원한도가 비교군 대비 높음 (P100, 성격x방식x단위x출처 비교군 316건)",비전형,사업화 과제당 30억(P100). 사업화 비교군에서 자릿수가 다름,설계,claude-blind
PBLN_000000000045922,[전남] 지역 투자활성화를 위한 투자유치설명회 참여기업 모집 공고,컨설팅,grant,2000000.0,10.0,90.0,,"지원비율이 비교군 대비 높음 (P90, 성격x방식 비교군 64건)",경계,기업당 200만원 + 지원비율 90%. 소액·고비율 조합,설계,claude-blind
PBLN_000000000119356,[서울] 2026년 아이 키우기 좋은 기업 지원사업 육아휴직ㆍ출산휴가 기업지원금 및 출산휴가급여 근로자지원금,고용보조,grant,,3.0,,0.25,"사업기간이 비교군 대비 낮음 (P0, 성격x방식x출처 비교군 35건)",경계,사업기간 0.25년(P0). 출산·육아 지원금이라 설명은 됨,설계,claude-blind
PBLN_000000000043621,[대전] 해외규격인증획득지원사업 참여기업 모집 공고,해외인증,grant,25000000.0,51.0,,,비교군 부족,정상,"해외인증 2,500만원/51개사. 통상 설계",-,claude-blind
PBLN_000000000076395,[경기] 2022년 제조ㆍ서비스업 융복합사업 후속지원 참여기업 모집 공고,사업화,grant,769230.7692307692,26.0,,,"기업(과제)당 지원한도가 비교군 대비 낮음 (P0, 성격x방식x단위x출처 비교군 289건)",비전형,기업당 76.9만원. 사업화 지원으로 성립하지 않는 값 — 총액/기업수 산출 오류로 보임,데이터,claude-blind
EXCEL2022_0770,2022년 시니어 퇴직인력의 특허기반 기술창업지원,사업화,guarantee,60000000.0,20.0,80.0,,비교군 부족,경계,방식이 guarantee 인데 성격은 사업화. 방식·성격 불일치,설계,claude-blind
EXCEL2023_0466,2023년 광융합제품 시제품 제작 지원사업,사업화,grant,8000000.0,12.0,80.0,,"기업(과제)당 지원한도가 비교군 대비 낮음 (P0, 성격x방식x단위x출처 비교군 316건)",정상,시제품 800만원/12개사/80%. 통상 설계,-,claude-blind
EXCEL2023_0633,2023년 희망리턴패키지 사업(재창업지원),사업화,grant,20000000.0,,50.0,,"지원비율이 비교군 대비 낮음 (P0, 성격x방식x출처 비교군 267건)",정상,"재창업 2,000만원/50%. 7번과 같은 계열이나 축 하나만 낮음",-,claude-blind
EXCEL2022_0030,2022년 농수산식품 정책자금 융자(우수수산물지원자금),융자,loan,5000000000.0,,,1.0,"기업(과제)당 지원한도가 비교군 대비 높음 (P100, 성격x방식x단위x출처 비교군 55건) / 사업기간이 비교군 대비 낮음 (P10, 성격x방식x출처 비교군 91건)",경계,융자 한도 50억(P100). loan 방식이면 설명되는 규모,설계,claude-blind
PBLN_000000000044230,2019년 1차 산업집적지 경쟁력강화사업 스마트제조 R&D 신규지원 대상과제 공고,연구개발,grant,400000000.0,26.0,,,비교군 부족,정상,R&D 과제당 4억/26과제. 통상 설계,-,claude-blind
PBLN_000000000082196,[전남] 순천시 2023년 순천형 디지털 청년 일자리 사업 참여기업 모집 공고(행정안전부 지역주도형 청년일자,고용보조,grant,200000.0,24.0,,,"기업(과제)당 지원한도가 비교군 대비 낮음 (P0, 성격x방식x단위x출처 비교군 47건)",비전형,기업당 20만원. 청년일자리 인건비 지원으로 성립하지 않는 값 — 단위 혼선,데이터,claude-blind
PBLN_000000000105293,[전남] 2025년 중소기업 수출보험료 지원사업 신청안내 변경 공고,사업화,guarantee,3000000.0,400.0,,,"기업(과제)당 지원한도가 비교군 대비 낮음 (P0, 성격x단위 비교군 653건) / 지원 기업/과제 수가 비교군 대비 높음 (P100, 성격x단위 비교군 578건)",비전형,수출보험료를 사업화로 붙인 성격 오분류 + 기업당 300만원(P0)·400개사(P100) 소액다수,설계,claude-blind
EXCEL2023_0124,2023년 연구산업육성사업(기술거래전문기업육성),사업화,grant,300000000.0,5.0,80.0,,비교군 부족,경계,사업화 과제당 3억/5개사. 소수·고액 조합,설계,claude-blind
PBLN_000000000039816,석탄발전 미세먼지 저감 친환경설비 혁신기술개발사업(2019년 산업기술혁신사업 통합 시행계획 공고),연구개발,grant,1828000000.0,33.0,70.0,,"지원비율이 비교군 대비 낮음 (P10, 성격x방식 비교군 154건)",경계,4번과 같은 산업기술혁신 R&D 계열. 과제당 18.28억,설계,claude-blind
PBLN_000000000087113,[전북] 전주시 2023년 2차 중소기업 환경개선사업 모집 공고,설비,grant,20000000.0,,57.0,,비교군 부족,정상,"설비 2,000만원/57%. 통상 설계",-,claude-blind
EXCEL2023_0776,"2023년 창업성장기술개발사업(팁스, TIPS)",연구개발,grant,500000000.0,600.0,80.0,2.0,"지원 기업/과제 수가 비교군 대비 높음 (P100, 성격x방식x단위 비교군 43건) / 지원비율이 비교군 대비 높음 (P90, 성격x방식x출처 비교군 139건)",비전형,TIPS — 과제수 600(P100) + 지원비율 80%(P90) + 과제당 5억. 대규모·고비율·고액 조합,설계,claude-blind
EXCEL2023_0218,2023년 시장다변화 프런티어(선도기업) 육성 지원,사업화,grant,30000000.0,35.0,80.0,,"기업(과제)당 지원한도가 비교군 대비 낮음 (P10, 성격x방식x단위x출처 비교군 316건)",정상,"사업화 3,000만원/35개사/80%. 통상 설계",-,claude-blind
EXCEL2022_0634,2022년 물류효율화(제3자물류 컨설팅 지원),컨설팅,grant,20000000.0,,50.0,,"지원비율이 비교군 대비 낮음 (P10, 성격x방식x출처 비교군 58건)",정상,"컨설팅 2,000만원/50%. 16번과 동일 사업의 전년도판",-,claude-blind
EXCEL2022_0079,2022년 산학연 Collabo R&D사업,연구개발,guarantee,400000000.0,375.0,80.0,2.0,"지원 기업/과제 수가 비교군 대비 높음 (P100, 성격x단위 비교군 148건) / 지원비율이 비교군 대비 높음 (P90, 성격 비교군 164건)",비전형,방식 guarantee 불일치 + 과제수 375(P100) + 지원비율 80%(P90),설계,claude-blind
PBLN_000000000071682,장애인기업지원자금(2022년 중소벤처기업부 소관 소상공인 정책자금 융자계획 공고),융자,loan,200000000.0,1.0,,,"지원 기업/과제 수가 비교군 대비 낮음 (P0, 성격x방식x단위x출처 비교군 84건)",경계,융자 2억/1개사(P0). 정책자금 단일 계정이라 설명 여지 있음,설계,claude-blind
PBLN_000000000123814,2026년 3차 온실가스 국제감축사업(투자지원사업) 모집 공고,설비,grant,500000000.0,3.0,90.0,26.0,"지원비율이 비교군 대비 높음 (P100, 성격x방식 비교군 82건) / 사업기간이 비교군 대비 높음 (P90, 성격x방식 비교군 31건)",비전형,지원비율 90%(P100) + 사업기간 26년. 비율 극단과 기간 오파싱이 겹침,설계,claude-blind
EXCEL2023_0523,2023년 중소기업 스마트제조혁신 지원(스마트마이스터 활용지원),컨설팅,grant,15120000.0,,90.0,,"지원비율이 비교군 대비 높음 (P90, 성격x방식x출처 비교군 58건)",경계,지원비율 90%(P90). 나머지 축은 평범,설계,claude-blind
